"instrumento","fabricante_categoria","arquivo","caminho","tamanho_bytes","sha256","entradas","wav","outros"
"Guitarra","Outras coleções","Guitarhack Impulses.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Guitarhack Impulses.zip","360925","137F38FED5906BC5D43059F76AA7088DF94D4541E03B299F2D7AEA39DC193487","3","3","0"
"Guitarra","Outras coleções","GuitarHacksImpulses.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\GuitarHacksImpulses.zip","810478","EEBB675F1D5796219836200680FDE08DBC479DF385C34CBB0D80F0817DD82B24","18","18","0"
"Guitarra","Outras coleções","Hannover.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Hannover.zip","8887","C8D4ABDCC8F54BE4A867299FF4BEF2BAD5F16E55254407E42D0DFFDFE1E5CD07","2","2","0"
"Guitarra","Outras coleções","Harvard.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Harvard.zip","9105","D54878383DD0459CC3F550BA809F9D72773253332519CCB5E52BD8D4FBFF1ED0","2","2","0"
"Guitarra","Outras coleções","IR Clean forró.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\IR Clean forró.zip","14565","6AE3D195558F1196E5FC5C16BEC439F3F81CFAF35915C6AAC25F73F3E90E0DED","1","1","0"
"Guitarra","Outras coleções","Jensen 10 inch.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Jensen 10 inch.zip","166430","5A3315FD9E903833C979596898A55D70BF66A65314631266AA882BAA521F17BB","4","4","0"
"Guitarra","Outras coleções","Kalthallen IRs.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Kalthallen IRs.zip","1291944","2EBC9E57D3F44B8607206943472B6DFA255DD52F2652F0DB46FFC97CA0663E9B","48","48","0"
"Guitarra","Outras coleções","Leicester.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Leicester.zip","11902","CE8284D56E3638EEB4341011D4C4F5820649A14293E2995E8C6D06181C31CA2E","3","3","0"
"Guitarra","Outras coleções","Lincoln.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Lincoln.zip","5593","8CFB3EF3ACF6E6778207D228F667047CCCB7A58C31EB2CE58FB979F14308429E","2","2","0"
"Guitarra","Outras coleções","Mansfield.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Mansfield.zip","12943","1FB3F0B0B915F0A630E4C5241002285318596B9A8C94ABB7AF19ED6F0A2D3418","2","2","0"
"Guitarra","Outras coleções","Marshall 4x12.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Marshall 4x12.zip","444167","F05E535DB57D17D7CF26411377D8058396E0E15C582450500A1BB1C874448A30","2","2","0"
"Guitarra","Outras coleções","Marshall G15R.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Marshall G15R.zip","90925","1BB1B05ECE25491812289C69543C30AD898A3CC0BCCD9EA42F67C805BA4D32E9","2","2","0"
"Guitarra","Outras coleções","Northbridge.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Northbridge.zip","8522","9CE945B456335F77EE49B53A71EC487D73EDEB79B7F08CBD916C0E979A4187CC","2","2","0"
"Guitarra","Outras coleções","Oakdale.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Oakdale.zip","15860","4B23EABDF990EA228DFA97B87725A5D523015FAE45CE6D6B60993A97AE82A3D5","4","4","0"
"Guitarra","Outras coleções","Oxford.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Oxford.zip","9475","404E4F1B422A1743DD14717E1F8EC976429BE6942CB2C1D0925296200EC7A30D","2","2","0"
"Guitarra","Outras coleções","POD.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\POD.zip","10828","A44FE17A94C6F0C66363C1A9BD2404BDD01E8E23ACF0AE0AE65F770280E0094B","13","13","0"
"Guitarra","Outras coleções","Rockport.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Rockport.zip","9805","B9D84403CACA8A3362E14D000B78148E81C9E955FB4529D82EC88ED64C861CEF","2","2","0"
"Guitarra","Outras coleções","Roslindale.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Roslindale.zip","8493","275F15443420D69C913182870B35600ADABE34833E2C6813D5064271042296E7","2","2","0"
"Guitarra","Outras coleções","Rutland.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Rutland.zip","2167","AB4C45CEB70F56D80AC6E818AC55EE1AE411AA91514B045213321EB03EB03ADE","1","1","0"
"Guitarra","Outras coleções","Sterling.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Sterling.zip","6541","6A68F7F39262C3EB582319F2B9B983D5D3C6926F143EE4B2D7F17FCC04C694F9","2","2","0"
"Guitarra","Outras coleções","Supermart.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Supermart.zip","3463","80B874F9949025E94E1CD911FE82F63FD6BF9FB9EAB79E7A1A220F40C0825FD1","1","1","0"
"Guitarra","Outras coleções","Waltham.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Waltham.zip","8655","55A0BB3E122BBA1D013E371957933CD8B7C652B251362609E55672C330A6F97E","2","2","0"
"Guitarra","Outras coleções","Worcester.zip","downloads\arquivos\Por modelo\Guitarra\Outras coleções\Worcester.zip","21691","048E60DF0A2129C0F793FFB4BD0C16DF7F1296376E358D703DCF2461CB203B4F","5","5","0"
