"instrumento","arquivo_zip","arquivo_interno","extensao","tamanho_descompactado_bytes"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg_V4B_Marshall_4x12/Ampeg V4-B_marshal_MD441.wav",".wav","15546"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg_V4B_Marshall_4x12/Ampeg V4-B_marshal_mtg.wav",".wav","16288"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg_V4B_Trace_Elliot/Ampeg V4-B_TE_sm7.wav",".wav","14946"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg_V4B_Trace_Elliot/Ampeg V4-B_TE_u87.wav",".wav","15766"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\Outros modelos Ampeg.zip","Outros modelos Ampeg/Bass Ampeg_V4B_Trace_Elliot/Ampeg V4-B_TE-1.wav",".wav","16354"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/A8x10_57_AH.wav",".wav","96968"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/A8x10_e602_AH.wav",".wav","146932"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/A8x10_57_A107.wav",".wav","127284"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/A8x10_D6_A107.wav",".wav","123552"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-Cap-3in.wav",".wav","4968"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-ConeEdge-1in.wav",".wav","8112"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-CapEdge-0in.wav",".wav","4776"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-Cone-0in.wav",".wav","4836"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-CapEdge-0_5in.wav",".wav","4776"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-Cone-2in.wav",".wav","4902"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-Cap-1in.wav",".wav","4776"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-CapEdge-2in.wav",".wav","4888"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-ConeEdge-3in.wav",".wav","8188"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-CapEdge-6in.wav",".wav","7120"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-Cap-5in.wav",".wav","7144"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-Cone-6in.wav",".wav","8190"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-Cone-4in.wav",".wav","7140"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-CapEdge-4in.wav",".wav","4878"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-ConeEdge-5in.wav",".wav","7374"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-Cone-3in.wav",".wav","4896"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-Cap-12in.wav",".wav","8868"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-CapEdge-3in.wav",".wav","4998"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-ConeEdge-2in.wav",".wav","8202"
"Baixo","downloads\arquivos\Por modelo\Baixo\Ampeg\SVT 810.zip","SVT 810/Bass 48 KHz-24bit/SVT810/Shure SM7/SVT810-SM7-Cap-0in.wav",".wav","4734"
