"caminho","tamanho_antes","tamanho_depois","sha256_antes","sha256_depois","status"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Marshall 4x12.zip","444167","444167","F05E535DB57D17D7CF26411377D8058396E0E15C582450500A1BB1C874448A30","F05E535DB57D17D7CF26411377D8058396E0E15C582450500A1BB1C874448A30","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Marshall G15R.zip","90925","90925","1BB1B05ECE25491812289C69543C30AD898A3CC0BCCD9EA42F67C805BA4D32E9","1BB1B05ECE25491812289C69543C30AD898A3CC0BCCD9EA42F67C805BA4D32E9","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Northbridge.zip","8522","8522","9CE945B456335F77EE49B53A71EC487D73EDEB79B7F08CBD916C0E979A4187CC","9CE945B456335F77EE49B53A71EC487D73EDEB79B7F08CBD916C0E979A4187CC","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Oakdale.zip","15860","15860","4B23EABDF990EA228DFA97B87725A5D523015FAE45CE6D6B60993A97AE82A3D5","4B23EABDF990EA228DFA97B87725A5D523015FAE45CE6D6B60993A97AE82A3D5","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Oxford.zip","9475","9475","404E4F1B422A1743DD14717E1F8EC976429BE6942CB2C1D0925296200EC7A30D","404E4F1B422A1743DD14717E1F8EC976429BE6942CB2C1D0925296200EC7A30D","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\POD.zip","10828","10828","A44FE17A94C6F0C66363C1A9BD2404BDD01E8E23ACF0AE0AE65F770280E0094B","A44FE17A94C6F0C66363C1A9BD2404BDD01E8E23ACF0AE0AE65F770280E0094B","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Rockport.zip","9805","9805","B9D84403CACA8A3362E14D000B78148E81C9E955FB4529D82EC88ED64C861CEF","B9D84403CACA8A3362E14D000B78148E81C9E955FB4529D82EC88ED64C861CEF","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Roslindale.zip","8493","8493","275F15443420D69C913182870B35600ADABE34833E2C6813D5064271042296E7","275F15443420D69C913182870B35600ADABE34833E2C6813D5064271042296E7","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Rutland.zip","2167","2167","AB4C45CEB70F56D80AC6E818AC55EE1AE411AA91514B045213321EB03EB03ADE","AB4C45CEB70F56D80AC6E818AC55EE1AE411AA91514B045213321EB03EB03ADE","inalterado"
"downloads\arquivos\Por modelo\Guitarra\Outras coleções\Sterling.zip","6541","6541","6A68F7F39262C3EB582319F2B9B983D5D3C6926F143EE4B2D7F17FCC04C694F9","6A68F7F39262C3EB582319F2B9B983D5D3C6926F143EE4B2D7F17FCC04C694F9","inalterado"
